quote_date,item_id,p_mean,p25,p_median,p75,itemName,date,dateStata,dateISO,obs,year,month,quarter
201901,430138,344.34402,90,279.64999,549,.,372,01/01/2019,01/01/2019,125531,2019,1,1
201902,430138,364.22659,99.989998,299,599,.,373,01/02/2019,01/02/2019,124018,2019,2,1
201903,430138,374.90186,110,299,599,.,374,01/03/2019,01/03/2019,127885,2019,3,1
201904,430138,362.31607,94.5,299,599,.,375,01/04/2019,01/04/2019,128853,2019,4,2
201905,430138,360.80734,90,299,599,.,376,01/05/2019,01/05/2019,128682,2019,5,2
201906,430138,383.00235,90,299,599,.,377,01/06/2019,01/06/2019,129075,2019,6,2
201907,430138,348.94891,90,274,599,.,378,01/07/2019,01/07/2019,128486,2019,7,3
201908,430138,347.89639,90,279,599,.,379,01/08/2019,01/08/2019,127479,2019,8,3
201909,430138,356.16913,90,299,599,.,380,01/09/2019,01/09/2019,127702,2019,9,3
201910,430138,351.89297,90,299,599,.,381,01/10/2019,01/10/2019,127514,2019,10,4
201911,430138,373.11575,90,299,599,.,382,01/11/2019,01/11/2019,127910,2019,11,4
201912,430138,385.92496,90,299,599,.,383,01/12/2019,01/12/2019,127767,2019,12,4
202001,430138,361.85263,89,299,599,.,384,01/01/2020,01/01/2020,127661,2020,1,1
202002,430138,390.09302,115,299,599,.,385,01/02/2020,01/02/2020,126570,2020,2,1
202003,430138,400.3927,110,299,599,.,386,01/03/2020,01/03/2020,118933,2020,3,1
202004,430138,289.93253,89,250,429.98999,.,387,01/04/2020,01/04/2020,74251,2020,4,2
202005,430138,304.21716,99.494995,250,429.98999,.,388,01/05/2020,01/05/2020,85259,2020,5,2
202006,430138,334.0954,80,274.5,432.48999,.,389,01/06/2020,01/06/2020,94010,2020,6,2
202007,430138,361.76776,99.989998,299,589.5,.,390,01/07/2020,01/07/2020,102371,2020,7,3
202008,430138,339.66437,60,199,350,.,391,01/08/2020,01/08/2020,112987,2020,8,3
202009,430138,346.23251,60,135,399,.,392,01/09/2020,01/09/2020,116062,2020,9,3
202010,430138,339.37885,60,219,399,.,393,01/10/2020,01/10/2020,116826,2020,10,4
202011,430138,288.81067,60,230,350,.,394,01/11/2020,01/11/2020,82553,2020,11,4
202012,430138,324.31036,69.989998,250,350,.,395,01/12/2020,01/12/2020,94790,2020,12,4
202101,430138,298.35046,60,239,350,.,396,01/01/2021,01/01/2021,94079,2021,1,1
202102,430138,305.39798,65,250,350,.,397,01/02/2021,01/02/2021,98049,2021,2,1
202103,430138,319.5892,65,129,350,.,398,01/03/2021,01/03/2021,100972,2021,3,1
202104,430138,301.38428,65,194.5,323,.,399,01/04/2021,01/04/2021,102092,2021,4,2
202105,430138,335.13953,65,129,399,.,400,01/05/2021,01/05/2021,95210,2021,5,2
202106,430138,336.33136,70,199,350,.,401,01/06/2021,01/06/2021,109408,2021,6,2
202107,430138,335.97,70,199,350,.,402,01/07/2021,01/07/2021,122056,2021,7,3
202108,430138,345.14334,79.989998,199,370,.,403,01/08/2021,01/08/2021,123477,2021,8,3
202109,430138,366.3425,70,258.5,399,.,404,01/09/2021,01/09/2021,122686,2021,9,3
202110,430138,375.24783,70,268.5,449,.,405,01/10/2021,01/10/2021,123103,2021,10,4
202111,430138,358.91336,70,199,399,.,406,01/11/2021,01/11/2021,123532,2021,11,4
202112,430138,348.07953,70,199,399,.,407,01/12/2021,01/12/2021,123086,2021,12,4
202201,430138,335.74832,85,199,359,.,408,01/01/2022,01/01/2022,123655,2022,1,1
202202,430138,315.69733,85,199,359,.,409,01/02/2022,01/02/2022,121928,2022,2,1
202203,430138,302.26877,85,169,390,.,410,01/03/2022,01/03/2022,125713,2022,3,1
202204,430138,326.35626,85,199,419,.,411,01/04/2022,01/04/2022,127157,2022,4,2
202205,430138,330.90915,85,189,419,.,412,01/05/2022,01/05/2022,127155,2022,5,2
202206,430138,328.48495,85,249.99001,399,.,413,01/06/2022,01/06/2022,127526,2022,6,2
202207,430138,322.63284,90,199,399,.,414,01/07/2022,01/07/2022,127040,2022,7,3
202208,430138,310.5748,87.5,199,394,.,415,01/08/2022,01/08/2022,125392,2022,8,3
202209,430138,311.11578,80,225,399,.,416,01/09/2022,01/09/2022,125502,2022,9,3
202210,430138,313.63531,99.989998,225,399,.,417,01/10/2022,01/10/2022,125741,2022,10,4
